step,time,sensor_raw_FL,sensor_raw_FR,raw_frontal,front_dist,filtered_frontal,kalman_estimate,raw_left,raw_right,sensor_raw_L,sensor_raw_R,encoder_L,encoder_R,delta_s,kalman_gain,action
145,4.64,67.106413,156.558468,0.040387,0.040387,0.043008,0.041231,0.3,0.068331,71.497104,73.346895,5.5892,5.40708,0.000644,0.358258,FORWARD
146,4.672,62.581231,154.698326,0.040876,0.040691,0.042368,0.040691,0.3,0.3,61.83662,68.474279,5.59548,5.4636,0.000644,0.358258,FORWARD
147,4.704,64.541008,169.08539,0.038562,0.038562,0.041226,0.039515,0.3,0.3,65.859479,58.560043,5.62688,5.495,0.000644,0.358258,TURN_LEFT
148,4.736,71.31186,187.414923,0.036179,0.036179,0.039712,0.03832,0.3,0.3,64.594864,67.155259,5.54524,5.57664,0.0,0.358258,TURN_LEFT
149,4.768,67.35062,184.871861,0.03651,0.03651,0.038751,0.037671,0.3,0.3,63.226679,65.910266,5.46988,5.652,0.0,0.358258,TURN_LEFT
150,4.8,68.438757,201.374948,0.034363,0.034363,0.037435,0.036486,0.068523,0.3,72.638713,68.138273,5.38824,5.73364,0.0,0.358258,TURN_RIGHT
151,4.832,68.199483,184.012075,0.036621,0.036535,0.037191,0.036535,0.3,0.3,64.493241,70.977876,5.46988,5.652,0.0,0.358258,TURN_LEFT
152,4.864,64.710681,196.261734,0.035028,0.035028,0.036542,0.035995,0.3,0.3,61.215936,69.905724,5.38824,5.73364,0.0,0.358258,TURN_LEFT
153,4.896,66.693857,203.039977,0.034147,0.034147,0.035824,0.035333,0.3,0.3,63.052291,64.438099,5.3066,5.81528,0.0,0.358258,TURN_LEFT
154,4.928,65.3088,205.186874,0.033868,0.033868,0.035237,0.034808,0.3,0.3,66.780226,67.515518,5.23124,5.89064,0.0,0.358258,TURN_LEFT
155,4.96,67.157196,205.65827,0.033806,0.033806,0.034808,0.034449,0.3,0.3,69.20897,64.191353,5.1496,5.97228,0.0,0.358258,TURN_LEFT
