step,time,sensor_raw_FL,sensor_raw_FR,raw_frontal,front_dist,side_danger,filtered_frontal,kalman_estimate,raw_left,raw_right,sensor_raw_L,sensor_raw_R,encoder_L,encoder_R,delta_s,kalman_gain,action
84,2.688,66.511695,66.171119,0.3,0.3,0.3,0.250409,0.3,0.3,0.3,69.991558,64.482906,3.11488,3.25932,0.000837,0.545455,FORWARD
85,2.72,67.348084,70.291196,0.3,0.299649,0.3,0.265286,0.299649,0.3,0.3,69.933162,68.808993,3.15256,3.297,0.000772,0.545455,FORWARD
86,2.752,68.579758,67.286773,0.3,0.299356,0.3,0.275701,0.299356,0.3,0.3,67.057596,69.73584,3.19024,3.33468,0.000772,0.427083,FORWARD
87,2.784,67.944182,65.150524,0.3,0.29909,0.3,0.28299,0.29909,0.3,0.3,66.789433,66.653246,3.22792,3.37864,0.000837,0.385403,FORWARD
88,2.816,70.820667,62.091918,0.3,0.298939,0.3,0.288093,0.298939,0.3,0.3,70.270211,69.940498,3.2656,3.41632,0.000772,0.369246,FORWARD
89,2.848,63.262867,68.345209,0.3,0.298832,0.3,0.291665,0.298832,0.3,0.3,58.753933,68.662879,3.30328,3.454,0.000772,0.362751,FORWARD
90,2.88,67.052048,65.327104,0.3,0.298758,0.3,0.294166,0.298758,0.3,0.3,70.216377,56.089504,3.34096,3.49168,0.000772,0.360103,FORWARD
91,2.912,67.247345,68.63351,0.3,0.298709,0.3,0.295916,0.298709,0.3,0.3,67.799226,66.801576,3.37864,3.52936,0.000772,0.359017,FORWARD
92,2.944,66.734421,67.175638,0.3,0.298635,0.3,0.297141,0.298635,0.3,0.3,71.657183,66.707822,3.4226,3.56704,0.000837,0.35857,FORWARD
93,2.976,62.233255,65.136571,0.3,0.298629,0.3,0.297999,0.298629,0.3,0.3,67.189214,68.089603,3.46028,3.60472,0.000772,0.358386,FORWARD
94,3.008,64.69403,69.189399,0.3,0.298624,0.3,0.298599,0.298624,0.3,0.3,63.703117,66.590634,3.49796,3.6424,0.000772,0.358311,FORWARD
95,3.04,69.815827,62.489915,0.3,0.298622,0.3,0.299019,0.298622,0.3,0.3,69.411743,67.820436,3.53564,3.68008,0.000772,0.358279,FORWARD
96,3.072,66.946751,67.183943,0.3,0.298578,0.3,0.299314,0.298578,0.3,0.3,70.816747,63.899993,3.57332,3.72404,0.000837,0.358267,FORWARD
97,3.104,70.959863,65.994481,0.3,0.298592,0.3,0.29952,0.298592,0.3,0.3,64.689137,60.023757,3.611,3.76172,0.000772,0.358261,FORWARD
98,3.136,70.223485,69.348149,0.3,0.298601,0.068467,0.299664,0.298601,0.068467,0.3,72.847527,68.810138,3.64868,3.7994,0.000772,0.358259,FORWARD
99,3.168,65.343086,67.609713,0.3,0.298606,0.067605,0.299765,0.298606,0.067605,0.3,76.028798,68.886037,3.72404,3.7994,0.000772,0.358258,FORWARD
100,3.2,66.005931,64.834744,0.3,0.29861,0.3,0.299835,0.29861,0.3,0.3,67.938026,64.032717,3.7994,3.7994,0.000772,0.358258,FORWARD
101,3.232,68.310217,71.374353,0.3,0.298612,0.3,0.299885,0.298612,0.3,0.3,64.842239,70.461453,3.83708,3.83708,0.000772,0.358258,FORWARD
102,3.264,65.078577,72.374997,0.068595,0.068595,0.068372,0.230498,0.068595,0.068372,0.3,73.195686,69.040449,3.87476,3.87476,0.000772,0.358258,FORWARD
103,3.296,70.570902,61.153708,0.3,0.3,0.3,0.251348,0.3,0.3,0.3,67.078442,70.029148,3.95012,3.88104,0.000837,0.545455,FORWARD
104,3.328,63.081826,68.867419,0.3,0.29962,0.3,0.265944,0.29962,0.3,0.3,71.138097,71.640964,3.99408,3.91872,0.000837,0.545455,FORWARD
105,3.36,56.296037,70.206267,0.3,0.29934,0.3,0.276161,0.29934,0.3,0.3,61.744751,69.221785,4.03176,3.9564,0.000772,0.427083,FORWARD
106,3.392,67.108873,67.022193,0.3,0.299119,0.067817,0.283312,0.299119,0.067817,0.3,75.246429,70.656474,4.06944,3.99408,0.000772,0.385403,FORWARD
107,3.424,63.568399,69.136638,0.3,0.298957,0.3,0.288319,0.298957,0.3,0.3,67.889222,67.938944,4.1448,3.99408,0.000772,0.369246,FORWARD
108,3.456,71.515329,65.903795,0.3,0.298843,0.3,0.291823,0.298843,0.3,0.3,64.427131,68.118273,4.18248,4.03176,0.000772,0.362751,FORWARD
109,3.488,66.0786,60.904617,0.3,0.298766,0.3,0.294276,0.298766,0.3,0.3,64.310332,62.424796,4.22016,4.06944,0.000772,0.360103,FORWARD
110,3.52,67.036078,69.540901,0.3,0.298672,0.3,0.295993,0.298672,0.3,0.3,67.878479,63.223806,4.25784,4.1134,0.000837,0.359017,FORWARD
111,3.552,70.081857,72.452595,0.068574,0.068574,0.3,0.227767,0.068574,0.3,0.3,69.88474,63.653754,4.29552,4.15108,0.000772,0.35857,FORWARD
112,3.584,62.884865,70.581278,0.3,0.3,0.3,0.249437,0.3,0.3,0.3,71.312994,67.11296,4.3332,4.18876,0.000772,0.545455,FORWARD
113,3.616,80.231263,68.735906,0.066466,0.066466,0.3,0.194546,0.066466,0.3,0.3,63.954831,70.75931,4.37716,4.22644,0.000837,0.545455,FORWARD
114,3.648,65.572906,66.263851,0.3,0.3,0.3,0.226182,0.3,0.3,0.3,67.711283,66.323776,4.41484,4.26412,0.000772,0.545455,FORWARD
115,3.68,69.602008,60.291081,0.3,0.299649,0.3,0.248327,0.299649,0.3,0.3,66.924863,65.242624,4.45252,4.3018,0.000772,0.545455,FORWARD
116,3.712,66.630592,66.797349,0.3,0.299356,0.3,0.263829,0.299356,0.3,0.3,65.732432,66.317802,4.4902,4.33948,0.000772,0.427083,FORWARD
