type,x,y
actual,0.556703,0.299068
actual,0.558248,0.299025
actual,0.559853,0.298914
actual,0.561388,0.298743
actual,0.562915,0.29851
actual,0.56418,0.298268
actual,0.564744,0.298137
actual,0.564744,0.298137
actual,0.565633,0.29776
actual,0.567035,0.297112
actual,0.568353,0.296438
actual,0.569755,0.295647
actual,0.571068,0.294833
actual,0.572399,0.293929
actual,0.57266,0.293741
actual,0.572596,0.293749
actual,0.573806,0.293931
actual,0.575404,0.294113
actual,0.576945,0.294223
actual,0.578489,0.294271
actual,0.580098,0.294253
actual,0.581641,0.294174
actual,0.582219,0.294127
actual,0.582282,0.294118
actual,0.58222,0.294135
actual,0.58222,0.294135
actual,0.582279,0.294109
actual,0.582279,0.294109
actual,0.582493,0.293965
actual,0.58382,0.293055
actual,0.585056,0.292128
actual,0.586253,0.291152
actual,0.58741,0.290129
actual,0.588524,0.289058
actual,0.589154,0.288414
actual,0.589154,0.288414
actual,0.589217,0.2884
actual,0.590207,0.288684
actual,0.591704,0.289061
actual,0.593216,0.28938
actual,0.594803,0.289645
actual,0.595759,0.289779
actual,0.59716,0.290256
actual,0.598639,0.290703
actual,0.600135,0.29109
actual,0.601323,0.291377
actual,0.60237,0.291872
actual,0.603719,0.29248
actual,0.605152,0.293059
actual,0.606668,0.293599
actual,0.608143,0.294056
actual,0.608206,0.29407
actual,0.608142,0.294059
actual,0.608142,0.294059
actual,0.608142,0.294059
actual,0.608207,0.294056
actual,0.608143,0.294063
actual,0.608143,0.294063
actual,0.608757,0.293872
actual,0.610217,0.293368
actual,0.611677,0.292862
actual,0.613211,0.292375
actual,0.614701,0.29197
actual,0.616207,0.291624
actual,0.616775,0.29151
actual,0.616775,0.29151
actual,0.616839,0.291508
actual,0.618372,0.291318
actual,0.619896,0.291065
actual,0.621409,0.29075
actual,0.622917,0.290414
actual,0.624492,0.290088
actual,0.625691,0.289846
actual,0.625691,0.289846
actual,0.625691,0.289846
actual,0.625691,0.289846
actual,0.626974,0.289951
actual,0.628518,0.29002
actual,0.629998,0.290028
actual,0.631607,0.289984
actual,0.633151,0.289954
actual,0.634696,0.289963
actual,0.634937,0.290053
actual,0.637233,0.291585
actual,0.64076,0.295325
actual,0.644508,0.300866
actual,0.648109,0.307769
actual,0.651446,0.315652
actual,0.652696,0.318964
actual,0.652402,0.31832
actual,0.652129,0.317809
actual,0.651964,0.317533
actual,0.652003,0.317584
actual,0.652003,0.317584
actual,0.651956,0.31754
actual,0.651956,0.31754
actual,0.652733,0.318113
actual,0.654007,0.318986
actual,0.655371,0.319841
actual,0.656712,0.320607
actual,0.658084,0.321317
actual,0.659484,0.321971
actual,0.661193,0.322988
actual,0.664371,0.326169
actual,0.667908,0.331307
actual,0.671347,0.338004
actual,0.67446,0.3457
actual,0.677286,0.354188
actual,0.679837,0.363166
actual,0.682188,0.372531
actual,0.684369,0.382069
actual,0.686441,0.391828
actual,0.688417,0.401608
actual,0.690368,0.41159
actual,0.692261,0.421582
actual,0.694109,0.431584
actual,0.695936,0.441654
actual,0.697748,0.451727
actual,0.699549,0.461868
actual,0.70135,0.472008
actual,0.703118,0.482089
actual,0.704894,0.492234
actual,0.70667,0.502379
actual,0.708446,0.512524
actual,0.710222,0.522669
actual,0.711998,0.532814
actual,0.713773,0.542959
actual,0.715551,0.553038
actual,0.717328,0.563117
actual,0.719104,0.573262
actual,0.72088,0.583407
actual,0.722656,0.593552
actual,0.724432,0.603697
actual,0.726164,0.613588
actual,0.727806,0.622972
actual,0.729378,0.631977
actual,0.730888,0.6406
actual,0.732318,0.64878
actual,0.733677,0.65658
actual,0.734983,0.664062
actual,0.736223,0.671164
actual,0.737418,0.678013
actual,0.738547,0.684481
actual,0.73961,0.690568
actual,0.740653,0.696528
actual,0.74163,0.702108
actual,0.742582,0.707561
